Extreme price: 15500076601.199106 (sqrt: 9863851059906236804945226485476123, raw: 15500076601.199106, adjustment: 1)
Extreme price: 0.0000000000000000009091496798504171 (sqrt: 75543530716503443143, raw: 0.0000000000000000009091496798504171, adjustment: 1)
Extreme price: 0.000000000024561927727703747 (sqrt: 12416832090513722902935441717, raw: 0.024561927727703745, adjustment: 0.000000001)
Extreme price: 0.00000000002453830121082163 (sqrt: 12410858677540790047043571687, raw: 0.02453830121082163, adjustment: 0.000000001)
Extreme price: 0.000000000024503609283012488 (sqrt: 12402082420046840092732088637, raw: 0.024503609283012488, adjustment: 0.000000001)
Extreme price: 0.000000000024492479513299356 (sqrt: 12399265528927675098150587783, raw: 0.024492479513299355, adjustment: 0.000000001)
Extreme price: 0.00000000002448266858585716 (sqrt: 12396781899637540893750612497, raw: 0.02448266858585716, adjustment: 0.000000001)
Extreme price: 0.000000000024404252174630736 (sqrt: 12376912929975260357356266742, raw: 0.024404252174630735, adjustment: 0.000000001)
Extreme price: 0.00000000002437515729456525 (sqrt: 12369532818746180480244985184, raw: 0.02437515729456525, adjustment: 0.000000001)
Extreme price: 0.00000000002435331204747508 (sqrt: 12363988730002108781859198080, raw: 0.024353312047475078, adjustment: 0.000000001)
Extreme price: 15487091098.490265 (sqrt: 9859718373788617564153176786042615, raw: 15487091098.490265, adjustment: 1)
Extreme price: 0.000000000024337611886950917 (sqrt: 12360002662246763652545177860, raw: 0.024337611886950914, adjustment: 0.000000001)
Extreme price: 0.00000000002261605814935654 (sqrt: 11914835200577975391069857454, raw: 0.02261605814935654, adjustment: 0.000000001)
Extreme price: 0.00000000001831557584716958 (sqrt: 339070395249827928875392, raw: 0.00000000001831557584716958, adjustment: 1)
Extreme price: 0.000000000022659209593967774 (sqrt: 11926196538074728194556886252, raw: 0.022659209593967774, adjustment: 0.000000001)
Extreme price: 0.0000000000022417380754610577 (sqrt: 118623850737358047008256, raw: 0.0000000000022417380754610577, adjustment: 1)
Extreme price: 0.000000000022689246539130043 (sqrt: 11934098576155193293279265416, raw: 0.022689246539130042, adjustment: 0.000000001)
Extreme price: 0.000000000022760823916219243 (sqrt: 11952907901566484045718901982, raw: 0.022760823916219242, adjustment: 0.000000001)
Extreme price: 0.0000000000091229612160809 (sqrt: 239302644534753963739391, raw: 0.0000000000091229612160809, adjustment: 1)
Extreme price: 0.000000000009362254848295819 (sqrt: 242420762632597254072063, raw: 0.000000000009362254848295819, adjustment: 1)
Extreme price: 0.000000000022651791514777996 (sqrt: 11924244203597570802163456997, raw: 0.022651791514777996, adjustment: 0.000000001)
